Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
731,Spring,"San Francisco, California, United States",Active,For Profit,,,,,2.0,11.0,"Commerce and Shopping, Media and Entertainment","Content Creators, E-Commerce, Social Shopping",6.0,,2017-06-22,5000000.0,USD,5000000.0,Venture - Series Unknown,Venture - Series Unknown,5000000.0,USD,5000000.0,61875000.0,USD,61875000.0,3.0,881.205,"352,647.17",597.0,,,,"Andreessen Horowitz, FundersClub, Y Combinator, Initialized Capital, Acequia Capital (AceCap)"
732,SWORD Health,"New York, New York, United States",Active,For Profit,,,,,6.0,18.0,"Health Care, Mobile","Health Care, Medical, mHealth, Therapeutics",9.0,Late Stage Venture,2021-11-22,163000000.0,USD,163000000.0,Series D,Series D,163000000.0,USD,163000000.0,323466017.0,USD,323466017.0,,35.39,"26,047.5",58.0,,,,"General Catalyst, mymobiles price, Founders Fund, Bond, Khosla Ventures"
733,Trace,"Austin, Texas, United States",Active,For Profit,,,,,2.0,9.0,"Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Software, Sports","Computer, Quantified Self, Sensor, Software, Sports",7.0,Late Stage Venture,2022-04-12,47000000.0,USD,47000000.0,Series C,Series C,47000000.0,USD,47000000.0,68000000.0,USD,68000000.0,,310.835,"149,838.83",449.0,,,,"Brand Foundry Ventures, Intel Capital, Toba Capital, NextGen Venture Partners, Amplify.LA"
734,Bank of Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Idinvest Partners,"Paris, Ile-de-France, France",Active,,415.0,192.0,12.0,113.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,M&A,,,,,,,,,,,,,8.0,8.247,,0.0,,,,
736,Credit Saison,"Tokyo, Tokyo, Japan",Active,For Profit,36.0,13.0,,5.0,,,Financial Services,"Financial Services, FinTech",,IPO,,,,,,,,,,,,,,,,,,,,
737,Atlantic Labs,"Berlin, Berlin, Germany",Active,,160.0,73.0,2.0,13.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,1.0,1.395,"3,113.17",0.0,,,,
738,Activant Capital,"Greenwich, Connecticut, United States",Active,,53.0,20.0,9.0,4.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,6.265,"5,473.17",40.0,,,,
739,Forum Ventures,"New York, New York, United States",Active,,312.0,104.0,58.0,24.0,,,"Other, Software","B2B, Enterprise Software, SaaS",,,,,,,,,,,,,,,8.0,9.253,"8,429.5",799.0,,,,
740,Amplience,"London, England, United Kingdom",Active,For Profit,,,,,4.0,6.0,"Commerce and Shopping, Internet Services, Sales and Marketing, Software","Brand Marketing, E-Commerce, Internet, Software",9.0,Late Stage Venture,2022-03-15,91000000.0,EUR,99804230.0,Series D,Series D,91000000.0,EUR,99804230.0,178131237.0,USD,178131237.0,4.0,87.36,"66,032.67",613.0,,,,"Silicon Valley Bank, Sixth Street, Octopus Ventures, Northstar Ventures, Columbia Lake Partners"
741,Uncovered Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Gemini,"New York, New York, United States",Active,For Profit,3.0,,,,1.0,17.0,"Financial Services, Payments, Software","Cryptocurrency, Finance, Financial Services, FinTech",2.0,Private Equity,2022-02-17,,,,Private Equity,Private Equity,,,,423903059.0,USD,423903059.0,1.0,"10,849,964","11,303,558.83",1.018,,,,"Mogo, ParaFi Capital, Marcy Venture Partners, Pantera Capital, Winklevoss Capital"
743,Chris Adelsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,TLV Partners,"Tel Aviv, Tel Aviv, Israel",Active,,78.0,31.0,4.0,6.0,1.0,1.0,"Financial Services, Lending and Investments, Other","B2B, Financial Services, Venture Capital",1.0,,2016-06-25,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,,,,,,,Wipro Ventures
745,Triodos Investment Management,"Zeist, Utrecht, The Netherlands",Active,,24.0,14.0,,,,,"Financial Services, Lending and Investments",Banking,,,,,,,,,,,,,,,1.0,18.963,"67,301.33",30.0,,,,
746,AE Industrial Partners,"Boca Raton, Florida, United States",Active,,9.0,5.0,2.0,2.0,,,"Financial Services, Internet Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital, Web Hosting",,,,,,,,,,,,,,,,3.525,"5,733.33",4.0,1779341.0,USD,1779341.0,
747,Debasish Hota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,CVC Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Eleanor Health,"Waltham, Massachusetts, United States",Active,For Profit,,,,,3.0,8.0,"Health Care, Mobile","Health Care, Health Diagnostics, Hospital, mHealth, Psychology",3.0,Late Stage Venture,2022-04-07,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,81999881.0,USD,81999881.0,,178.41,"48,273.5",385.0,,,,"Warburg Pincus, General Catalyst, Northpond Ventures, Echo Health Ventures, Rethink Impact"
750,Morgan Stanley,"New York, New York, United States",Active,For Profit,209.0,70.0,30.0,92.0,,,Financial Services,"Asset Management, Finance, Financial Services, Lending",,IPO,,,,,,,,,,,,,24.0,"5,787,940","6,374,667.33",367.0,32727.0,USD,32727.0,
751,CapitalG,"San Francisco, California, United States",Active,,104.0,51.0,14.0,25.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,11.608,"8,531.67",236.0,,,,
752,Firstbase,"New York, New York, United States",Active,For Profit,,,,,4.0,20.0,"Consumer Electronics, Hardware, Information Technology, Software","Consumer Electronics, IT Management, Management Information Systems, SaaS",6.0,Early Stage Venture,2022-03-25,50000000.0,USD,50000000.0,Series B,Series B,50000000.0,USD,50000000.0,65100000.0,USD,65100000.0,,195.254,"58,590.5",401.0,,,,"Andreessen Horowitz, B Capital Group, Forum Ventures, Kleiner Perkins, Backend Capital"
753,Zabka Polska,"Poznan, Wielkopolskie, Poland",Active,For Profit,1.0,,1.0,,1.0,1.0,"Commerce and Shopping, Transportation","Automotive, Retail, Shopping",1.0,M&A,2017-06-02,25000000.0,EUR,28209986.0,Private Equity,Private Equity,25000000.0,EUR,28209986.0,25000000.0,EUR,28209986.0,,"1,008,267",638.24,702.0,,,,European Bank for Reconstruction and Development
754,Perforce Software,"Minneapolis, Minnesota, United States",Active,For Profit,,,,,2.0,2.0,"Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Analytics, Information Technology, Robotics, SaaS, Software",2.0,M&A,2020-07-08,30000000.0,USD,30000000.0,Private Equity,Private Equity,30000000.0,USD,30000000.0,30000000.0,USD,30000000.0,23.0,784.876,"689,892.33",417.0,,,,"Francisco Partners, Clearlake Capital Group"
755,EXPERT DOJO,"Santa Monica, California, United States",Active,For Profit,155.0,77.0,53.0,1.0,,3.0,"Financial Services, Information Technology, Lending and Investments, Other","Enterprise, Financial Services, Information Technology, Venture Capital",2.0,,2021-10-09,1070000.0,USD,1070000.0,Equity Crowdfunding,Equity Crowdfunding,1070000.0,USD,1070000.0,1070000.0,USD,1070000.0,16.0,3.42,"4,802.5",55.0,,,,"Bay Wharf Capital, VDOSH, Virgil Andry"
756,Bird,"Santa Monica, California, United States",Active,For Profit,,,,,7.0,39.0,"Apps, Mobile, Software, Transportation","Electric Vehicle, Mobile, Mobile Apps, Ride Sharing, Transportation",12.0,IPO,2021-11-05,160000000.0,USD,160000000.0,Post-IPO Equity,Post-IPO Equity,160000000.0,USD,160000000.0,783015000.0,USD,783015000.0,,622.937,"304,500.33",432.0,266155.0,USD,266155.0,"Sequoia Capital, B Capital Group, M13, Headline, Accel"
757,Tractable,"London, England, United Kingdom",Active,For Profit,,,,,6.0,17.0,"Artificial Intelligence, Data and Analytics, Financial Services, Hardware, Science and Engineering, Software","Artificial Intelligence, Computer Vision, Insurance, Machine Learning, Software",8.0,Late Stage Venture,2021-06-16,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,119900000.0,USD,119900000.0,13.0,9.362,"11,019.67",106.0,8833351.0,USD,8833351.0,"Entrepreneur First, Insight Partners, Acequia Capital (AceCap), Plug and Play Tech Center, Zetta Venture Partners"
758,Apna,"Mumbai, Maharashtra, India",Active,For Profit,,,,,4.0,8.0,"Administrative Services, Education, Other, Professional Services, Software","EdTech, Employment, Human Resources, Professional Services, Recruiting",5.0,Late Stage Venture,2021-09-15,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,193450000.0,USD,193450000.0,,"2,401,118","863,920.17",931.0,,,,"Insight Partners, Tiger Global Management, Sequoia Capital India, Maverick Ventures, Owl Ventures"
759,Octane,"New York, New York, United States",Active,For Profit,,,,,5.0,15.0,"Community and Lifestyle, Financial Services, Lending and Investments","Credit, Financial Services, FinTech, Lending, Lifestyle",12.0,Late Stage Venture,2021-08-05,52000000.0,USD,52000000.0,Series D,Series D,52000000.0,USD,52000000.0,401015898.0,USD,401015898.0,1.0,155.2,61.052,676.0,,,,"Gaingels, FundersClub, FinTech Collective, Contour Venture Partners, Third Prime"
760,I Squared Capital,"New York, New York, United States",Active,,11.0,5.0,,1.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.305,7.004,0.0,,,,
761,8 Decimal Capital,"San Francisco, California, United States",Active,For Profit,43.0,4.0,3.0,2.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,1.0,,,,,,,
762,U.S. Venture Partners,"Menlo Park, California, United States",Active,,556.0,163.0,53.0,155.0,,,"Financial Services, Lending and Investments, Software","Enterprise Software, Financial Services, Venture Capital",,,,,,,,,,,,,,,,3.97,"2,024.5",414.0,305859.0,USD,305859.0,
763,Warner Music Group,"New York, New York, United States",Active,For Profit,40.0,6.0,3.0,7.0,1.0,1.0,"Media and Entertainment, Music and Audio","Digital Entertainment, Media and Entertainment, Music",2.0,M&A,2021-10-18,1739970.0,USD,1739970.0,Post-IPO Debt,Post-IPO Equity,,,,1739970.0,USD,1739970.0,1.0,469.153,"1,079,276.17",945.0,,,,Tencent Music Entertainment
764,T. Rowe Price,"Baltimore, Maryland, United States",Active,For Profit,301.0,93.0,38.0,121.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Exchanges, Financial Services",,IPO,,,,,,,,,,,,,3.0,"3,177,187","5,948,284.17",399.0,,,,
765,BlocPower,"Brooklyn, New York, United States",Active,For Profit,,,,,8.0,24.0,"Energy, Real Estate, Sustainability","Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Management, Smart Cities",12.0,,2022-01-14,30000000.0,USD,30000000.0,Venture - Series Unknown,Venture - Series Unknown,30000000.0,USD,30000000.0,111423153.0,USD,111423153.0,,23.634,"15,876.33",308.0,,,,"Andreessen Horowitz, Goldman Sachs, Elemental Excelerator, Kapor Capital, Cleo Capital"
766,Summit Partners,"Boston, Massachusetts, United States",Active,,416.0,120.0,23.0,258.0,,,"Financial Services, Professional Services","Business Development, Finance, Financial Services",,,,,,,,,,,,,,,,11.692,"13,090.67",185.0,190890.0,USD,190890.0,
767,Aspada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Ripio,"San Francisco, California, United States",Active,For Profit,1.0,,1.0,,4.0,29.0,"Financial Services, Mobile, Payments, Software","Bitcoin, Finance, FinTech, Lending, Mobile Payments, Payments",12.0,Early Stage Venture,2021-09-20,50000000.0,USD,50000000.0,Series B,Series B,50000000.0,USD,50000000.0,94449592.0,USD,94449592.0,4.0,259.097,"417,071.17",508.0,,,,"Broslyn Capital, Digital Currency Group, FundersClub, Draper Associates, Pantera Capital"
769,RBL Bank,"Kolhapur, Maharashtra, India",Active,For Profit,4.0,1.0,,,3.0,17.0,"Financial Services, Lending and Investments, Other, Professional Services","Banking, Customer Service, Finance, Financial Services, FinTech",8.0,IPO,2019-12-07,20250000000.0,INR,284023170.0,Post-IPO Debt,Post-IPO Equity,,,,477391558.0,USD,477391558.0,,"1,397,688","2,428,705.17",309.0,,,,"International Finance Corporation, Steadview Capital, ICICI Lombard General Insurance, CDC Group, Ascent Capital"
770,Jackson Square Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Carmoola,"London, England, United Kingdom",Active,For Profit,,,,,1.0,9.0,Financial Services,"Financial Services, FinTech",3.0,Seed,2021-08-08,4600000.0,GBP,6378700.0,Seed,Seed,4600000.0,GBP,6378700.0,26920000.0,GBP,37390778.0,,8.583,,48.0,,,,"Clocktower Technology Ventures, VentureFriends, Michael Pennington, Will Neale, InMotion Ventures"
772,Shrug Capital,"San Francisco, California, United States",Active,,64.0,,10.0,2.0,,,"Financial Services, Lending and Investments, Other","Consumer, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.853,"2,579.5",32.0,,,,
773,Difference Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Adyen,"Amsterdam, Noord-Holland, The Netherlands",Active,For Profit,1.0,,,,3.0,7.0,"Apps, Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Apps, Mobile Payments",3.0,IPO,2015-09-30,,,,Venture - Series Unknown,Venture - Series Unknown,,,,266000000.0,USD,266000000.0,34.0,"65,672,739","58,734,280",257.0,,,,"Temasek Holdings, Index Ventures, General Atlantic, Felicis Ventures, ICONIQ Capital"
775,Wasoko,"Nairobi, Nairobi Area, Kenya",Active,For Profit,1.0,,,,5.0,27.0,"Consumer Goods, Other, Sales and Marketing, Transportation","Consumer Goods, Emerging Markets, Logistics, Sales, Supply Chain Management",10.0,Early Stage Venture,2022-03-16,125000000.0,USD,125000000.0,Series B,Series B,125000000.0,USD,125000000.0,143600000.0,USD,143600000.0,,13.963,"3,822.67",111.0,,,,"Tiger Global Management, Quona Capital, Musha Ventures, Breyer Capital, Flucas Ventures"
776,Volocopter,"Bruchsal, Baden-Wurttemberg, Germany",Active,For Profit,,,,,6.0,24.0,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation","Aerospace, Air Transportation, Drones, Robotics, Transportation",7.0,Late Stage Venture,2022-03-04,170000000.0,USD,170000000.0,Series E,Series E,170000000.0,USD,170000000.0,598581645.0,USD,598581645.0,,36.51,"36,817.33",82.0,8079634.0,USD,8079634.0,"Intel, BlackRock, Daimler, Honeywell, Continental"
777,Perceptive Advisors,"New York, New York, United States",Active,,210.0,75.0,41.0,110.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,4.922,"10,490.67",9.0,585388.0,USD,585388.0,
778,Cialfo,"Singapore, Central Region, Singapore",Active,For Profit,,,,,6.0,19.0,"Artificial Intelligence, Data and Analytics, Education, Internet Services, Science and Engineering, Software","Artificial Intelligence, EdTech, Education, Internet, Software",5.0,Early Stage Venture,2022-03-10,20000000.0,USD,20000000.0,Series B,Series B,20000000.0,USD,20000000.0,82600000.0,USD,82600000.0,,184.365,"253,509.83",380.0,,,,"Tiger Global Management, Susquehanna International Group (SIG), Vulcan Capital, Alto Partners Multi-Family Office, January Capital"
779,Groupon,"Chicago, Illinois, United States",Active,For Profit,8.0,3.0,,1.0,5.0,24.0,"Commerce and Shopping, Internet Services, Media and Entertainment","E-Commerce, Internet, Retail, Social Media",8.0,IPO,2019-12-30,,,,Post-IPO Equity,Post-IPO Equity,,,,1387000000.0,USD,1387000000.0,19.0,"44,654,303","38,645,473",396.0,109322578.0,USD,109322578.0,"Silver Lake, Andreessen Horowitz, Greylock, Fidelity, Accel"
780,MediBuddy,"Bangalore, Karnataka, India",Active,For Profit,,,,,6.0,15.0,"Financial Services, Health Care, Mobile","Health Care, Health Insurance, Medical, mHealth",6.0,M&A,2022-02-21,125000000.0,USD,125000000.0,Series C,Series C,125000000.0,USD,125000000.0,192132379.0,USD,192132379.0,,"3,128,250","3,202,700.5",739.0,,,,"Bessemer Venture Partners, Lightrock, Alteria Capital, InnoVen Capital, Rebright Partners"
781,UpGrad,"Mumbai, Maharashtra, India",Active,For Profit,,,,,5.0,5.0,"Education, Software","E-Learning, EdTech, Education",4.0,,2021-08-09,65000000.0,USD,65000000.0,Venture - Series Unknown,Venture - Series Unknown,65000000.0,USD,65000000.0,200986963.0,USD,200986963.0,1.0,"4,356,183","4,609,821.33",711.0,,,,"Temasek Holdings, International Finance Corporation, IIFL Finance, IIFL Asset Management, Unilazer Ventures"
782,Accel India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,MVI (MENA Venture Investments),"Dubai, Dubai, United Arab Emirates",Closed,,67.0,1.0,11.0,10.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
784,Wells Fargo Strategic Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,ATN International,"Salem, Massachusetts, United States",Active,For Profit,1.0,,,1.0,,,"Hardware, Internet Services, Mobile","Telecommunications, Web Hosting, Wireless",,IPO,,,,,,,,,,,,,,49.249,30.097,190.0,37113762.0,USD,37113762.0,
786,Sozo Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Snap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Greg Kidd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,JD Logistics,"Beijing, Beijing, China",Active,For Profit,4.0,3.0,,1.0,,12.0,Transportation,"Delivery Service, Logistics, Supply Chain Management",3.0,IPO,2022-03-24,1090000000.0,USD,1090000000.0,Post-IPO Equity,Post-IPO Equity,1090000000.0,USD,1090000000.0,3590000000.0,USD,3590000000.0,,236.055,"204,033.83",538.0,,,,"Tencent, Hillhouse Capital Group, Sequoia Capital China, K3 Ventures, K11 Investment"
790,Refactor Capital,"Burlingame, California, United States",Active,,71.0,7.0,23.0,6.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,121.401,,137.0,,,,
791,JCDecaux,"Neuilly-sur-seine, Ile-de-France, France",Active,For Profit,4.0,4.0,,2.0,1.0,1.0,"Advertising, Sales and Marketing","Advertising, Brand Marketing, Marketing, Outdoor Advertising",1.0,IPO,2018-11-22,100000.0,EUR,114024.0,Post-IPO Debt,,,,,100000.0,EUR,114025.0,11.0,43.322,"44,394.83",150.0,,,,October
792,Mojo Vision,"Saratoga, California, United States",Active,For Profit,,,,,1.0,33.0,"Consumer Electronics, Data and Analytics, Hardware, Health Care, Internet Services, Mobile, Software","Big Data, Computer Vision, Health Diagnostics, Internet of Things, Medical, Mobile, Software, Wearables",8.0,Early Stage Venture,2022-04-15,,,,Series B,Series B,,,,204000000.0,USD,204000000.0,,6.765,,0.0,,,,"8VC, PTC, Khosla Ventures, Gradient Ventures, New Enterprise Associates"
793,Panther Labs,"San Francisco, California, United States",Active,For Profit,,,,,4.0,11.0,"Data and Analytics, Information Technology, Privacy and Security, Software","Analytics, Cloud Security, Cyber Security, IT Infrastructure, Open Source",4.0,Early Stage Venture,2021-12-02,120000000.0,USD,120000000.0,Series B,Series B,120000000.0,USD,120000000.0,140500000.0,USD,140500000.0,,23.89,"16,987.33",288.0,,,,"Coatue, Lightspeed Venture Partners, ICONIQ Growth, Innovation Endeavors, 645 Ventures"
794,Raj Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
